os_id,placa,base,regra,est_algoritmo_min,rampa_real_min,pronta_real_min,n_pecas,pecas
34022,UER0B54,34,C4_CAPACIDADE,105,52,79,7,"Amortecedor traseiro x1 | Pastilha de freio traseiro x1 | Rolamento da roda x2 | Pneu traseiro x1 | Retentor da roda x2 | Manete de freio dianteiro x1 | Pastilha de freio dianteiro x1"
34037,TMB8A82,1,C3_TEMPO_ALTO,141,115,176,10,"Pastilha de freio dianteiro x1 | Rolamento da roda x2 | Tampa do motor CPX x1 | Retentor da roda x2 | Suporte pinça dianteira x1 | Circuito de proteção - CAN x1 | Pastilha de freio traseiro x1 | Roda traseira_v1 x1 | Rolamento da tampa do motor l/roda x1 | Suporte celular x1"
34043,TJI1D37,166,C3_TEMPO_ALTO,134,3,61,2,"Rolamento inferior da direção x2 | Rolamento superior completo da direção x2"
34058,TLE1I67,166,C3_TEMPO_COMBINADO,111,70,142,10,"Velocímetro x1 | Amortecedor traseiro x1 | Conjunto de seta x1 | Usb 5W - CPX x1 | Pneu dianteiro x1 | Pastilha de freio traseiro x1 | Disco de freio dianteiro x1 | Rolamento da roda x2 | Retentor da roda x2 | Pastilha de freio dianteiro x1"
34082,UGI9E04,1,C3_TEMPO_ALTO,123,91,133,6,"Amortecedor traseiro x1 | Pastilha de freio traseiro x1 | Motor 4300W_v2 x1 | Parafuso do disco x3 | Disco de freio traseiro x1 | Motor 4300W_v1 x1"
34084,TLT8A14,1,C3_TEMPO_ALTO,151,66,102,9,"Rolamento superior completo da direção x1 | Retentor da roda x2 | Rolamento da roda x2 | Pastilha de freio dianteiro x1 | Pneu dianteiro x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1 | Disco de freio dianteiro x1"
34114,URK9B92,34,C2_SEM_ESTOQUE,33,63,69,7,"Bolha/Parabrisa x1 | Parafuso da bolha x4 | Suporte da bolha x1 | Suporte da bolha inferior (Parte superior mesa suspensão diant.) x1 | Borracha de vedação Bolha x4 | Chapa do baú x1 | Bau 110L x1"
34126,QSR5G21,34,C2_SEM_ESTOQUE,41,98,114,6,"Pneu traseiro x1 | Conjunto do acelerador x1 | Válvula pneu x1 | Parafuso guia da pinça traseira x2 | Parafuso da Pinça traseira M8x12 x2 | Pastilha de freio traseiro x1"
34128,UGF1I01,1,C3_TEMPO_COMBINADO,99,80,132,6,"Pastilha de freio dianteiro x1 | Pneu traseiro x1 | Rolamento da roda x2 | Retentor da roda x1 | Pastilha de freio traseiro x1 | Mangueira de freio frontal direta x1"
34149,TJN8C74,34,C3_TEMPO_ALTO,123,37,89,8,"Pastilha de freio dianteiro x1 | Roda traseira_v2 x1 | Retentor da roda x2 | Pneu traseiro x1 | Rolamento da roda x2 | Pastilha de freio traseiro x1 | Chave x1 | Roda traseira_v1 x1"
34152,TIO2F42,166,C3_TEMPO_COMBINADO,76,89,131,6,"Pastilha de freio traseiro x1 | Pastilha de freio dianteiro x1 | Disco de freio traseiro x1 | Descanso lateral x1 | Sensor descanso x1 | Conjunto do acelerador x1"
34154,FDC6J71,34,C3_TEMPO_ALTO,130,97,158,7,"Pastilha de freio dianteiro x1 | Disco de freio traseiro x2 | Rolamento da roda x2 | Retentor da roda x2 | Disco de freio dianteiro x1 | Pastilha de freio traseiro x1 | Sensor de freio traseiro x1"
34222,TJC2F18,1,C4_CAPACIDADE,113,36,112,7,"Velocímetro x1 | Rolamento inferior da direção x1 | Pista do rolamento inferior  x1 | Pastilha de freio traseiro x1 | Garfo dianteiro x1 | Rolamento superior completo da direção x1 | Pastilha de freio dianteiro x1"
34243,TJK1D37,166,C3_TEMPO_ALTO,127,97,158,6,"Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1 | Rolamento inferior da direção x1 | Pastilha de freio dianteiro x1 | Rolamento superior completo da direção x1 | Mangueira de freio frontal da pinça x1"
34342,UDX5H54,1,C3_TEMPO_ALTO,130,62,74,6,"IOT Vammo x1 | Tampa do motor COMFORT v1 x1 | Rolamento da tampa do motor l/roda x1 | Tampa do motor COMFORT v2 x1 | Rolamento da roda x2 | Retentor da roda x2"
34428,TLE4G42,166,C3_TEMPO_ALTO,146,95,120,11,"Pneu traseiro x1 | Rolamento da roda x2 | Rolamento superior completo da direção x1 | Retentor da roda x2 | Porca travante direção x1 | Conjunto trava rolamento direção x1 | Pastilha de freio dianteiro x1 | Pneu dianteiro x1 | Garfo dianteiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1"
34474,TLW5H25,1,C3_TEMPO_ALTO,188,93,180,12,"Garfo dianteiro x1 | Pastilha de freio traseiro x1 | Pista do rolamento inferior  x1 | Rolamento inferior da direção x1 | Tampa do motor COMFORT v1 x1 | Roda traseira_v1 x1 | Rolamento da tampa do motor l/roda x1 | Pastilha de freio dianteiro x1 | Roda traseira_v2 x1 | Válvula pneu x1 | Pneu traseiro x1 | Rolamento superior completo da direção x1"
34501,UEZ2C13,1,C4_CAPACIDADE,116,76,134,9,"Rolamento superior completo da direção x1 | Chaveta da coluna de direção x1 | Pastilha de freio dianteiro x1 | Amortecedor traseiro x1 | Espelho retrovisor LE x1 | Rolamento inferior da direção x1 | Pista do rolamento inferior  x1 | Garfo dianteiro x1 | Espelho retrovisor LD x1"
34503,URC0E83,34,C3_TEMPO_ALTO,161,44,73,9,"Tampa do motor COMFORT v1 x1 | Rolamento da tampa do motor l/roda x1 | Roda traseira_v1 x1 | Tampa do motor COMFORT v2 x1 | Válvula pneu x1 | Roda traseira_v2 x1 | Retentor da roda x2 | Rolamento da roda x2 | Pastilha de freio dianteiro x1"
34508,TMB8G64,1,C4_CAPACIDADE,116,54,118,9,"Roda traseira_v1 x1 | Amortecedor traseiro x1 | Pastilha de freio traseiro x1 | Parafuso do disco x3 | Pneu traseiro x1 | Sensor descanso x1 | Válvula pneu x1 | Disco de freio traseiro x1 | Pastilha de freio dianteiro x1"
34511,UEB5F43,166,C3_TEMPO_COMBINADO,72,13,134,3,"Usb 18W - COMFORT x1 | Retentor da roda x2 | Rolamento da roda x2"
34579,SSZ9J46,34,C2_SEM_ESTOQUE,22,17,37,2,"Chapa do baú x1 | Bau 93L x1"
